"authorization.id","authorization.name","authorization.expires","authorization.value","authorization.created_at","authorization.token","status.id","status.name","order.id","order.name"
1,"JR3XgMzplOpq","2020-05-20 19:18:00","foo1.bar.local","2020-05-19 19:17:59","V6JgrDKnz6Y5AeuHZluuzypUTOISmgKD",6,"expired",1,"hqeLmg7VFqQM"
2,"6DvouKdOuGB3","2020-05-20 19:18:26","foo1.bar.local","2020-05-19 19:18:25","od48jZq6PMP2ZtjFSviDWCX7OfZ0L4jS",6,"expired",2,"b1wlz0PvIiih"
3,"UzhdACppBaLj","2020-05-20 19:20:07","certbot-1.bar.local","2020-05-19 19:20:03","FLLLQCBwPsIr5rkALGIhwORmWCJA7wXV",6,"expired",3,"F886mXiKvNfd"
4,"BzpFunyl3xAu","2020-05-20 19:20:07","certbot-2.bar.local","2020-05-19 19:20:03","MwSNALY5XiWgY878RVt1ETcFViQ0kWYM",6,"expired",3,"F886mXiKvNfd"
5,"WqVk0hkyT7HM","2020-05-20 19:22:40","certbot-3.bar.local","2020-05-19 19:22:37","7BnIuaiO1CYhfxFnRwBUCAD40nSUA0O2",6,"expired",4,"sFiDuIBiPRN1"
6,"m1c0c0k5Lim8","2020-05-20 19:22:41","certbot-4.bar.local","2020-05-19 19:22:37","3TW7xrAohIapjLt1MToHtgVr9y0m1XtE",6,"expired",4,"sFiDuIBiPRN1"
7,"qw6sxs5efqgj","2020-05-22 06:02:20","foo1.bar.local","2020-05-21 06:02:20","PbJwctTPw6DArtWvj7jkvuaIUBHzspjr",6,"expired",5,"Gq9X9qpORBNx"
8,"advfTJBwdzLb","2020-05-22 11:10:42","foo1.bar.local","2020-05-21 11:10:42","FcmxgzdGfZBdTxjIQjKqY2zJucHWVtEU",6,"expired",6,"DE9TJn0sDESh"
9,"kZa7BZkymq0i","2020-05-22 11:11:45","foo1.bar.local","2020-05-21 11:11:45","yUAvYT1V8GQmX4dNp8FeIC4yAilfGWaY",6,"expired",7,"FQACNUbhcwiu"
10,"73yOvLrAK9bJ","2020-05-22 12:31:12","foo1.bar.local","2020-05-21 12:31:12","6xcA6a2SNK2Lb7raqgaFyzlDrGFaVxqu",6,"expired",8,"cCfFhMTGwGQY"
11,"FeWbQrQxHA6R","2020-05-22 12:31:44","foo1.bar.local","2020-05-21 12:31:44","Lzzpt1I4ea7U7mmwA6G09Zf7tEl4ufhO",6,"expired",9,"fMJJy3KdfVbA"
12,"WLzo1WIVaAIa","2020-05-22 12:32:19","foo1.bar.local","2020-05-21 12:32:19","WxU9uAw8YVyj4QbHnTWURzChqOVrZ8ro",6,"expired",10,"rgahf9Tm9Czp"
13,"H9BZarw286Vz","2020-05-22 15:02:01","foo1.bar.local","2020-05-21 15:02:01","556hihWevln7Z0oW59WmBFIrcpFqw5v3",6,"expired",11,"OKbR4SbtCzFg"
14,"tpepRrJNplMg","2020-05-22 15:12:45","foo1.bar.local","2020-05-21 15:12:44","4PyTXUYto8t6IrxngqEpIaIyEKXZNvy0",6,"expired",12,"6zkpgOaS1GJk"
15,"FmzlUhLOvaAz","2020-05-22 15:20:25","foo1.bar.local","2020-05-21 15:20:24","oHIbshossKPgM08inra4gtg50WtmOWu4",6,"expired",13,"692KprfRTV1o"
16,"TZtLj3KuwYxx","2020-05-22 15:40:54","acme.nclm-samba.local","2020-05-21 15:40:53","wXv7ObWvigNUoVy6jbbs6YeIGMtJZbGr",6,"expired",14,"EnKfBAI3TBS6"
17,"shZ9cmAm2lq9","2020-05-22 15:40:54","acme2.nclm-samba.local","2020-05-21 15:40:53","sRuxgdRKdf9JmibwGkppSUNxQIQ24NtA",6,"expired",14,"EnKfBAI3TBS6"
18,"kLDnqSYx5loZ","2020-05-23 02:57:44","foo1.bar.local","2020-05-22 02:57:44","z9DiitMuN51YqpeKMjI7d6GoEGRVzmTC",6,"expired",15,"TXqVeLlIKHco"
19,"YKjBmlYNt0xh","2020-05-23 03:18:46","foo1.bar.local","2020-05-22 03:18:46","2CKRYDJCf2c0ftNVL1W7hgppHHpQv322",6,"expired",16,"gkiaREaeMhGO"
20,"TnzkYx31SM1D","2020-05-23 03:33:24","foo1.bar.local","2020-05-22 03:33:24","HZPLdo8s2n9aamzd7GlhPeVK5ASWX8Vb",6,"expired",17,"Iq1XTHcJgg5r"
21,"zakxWsMDYmys","2020-05-23 03:33:42","foo1.bar.local","2020-05-22 03:33:41","mLssJfH6jc5yv7sbhlvoTAy2KCkGGyRF",6,"expired",18,"5G9e9Xs4DghW"
22,"c3xHz6O9rHFV","2020-05-23 03:34:30","foo1.bar.local","2020-05-22 03:34:29","B2zyY9mr70I0DhKUYbHFh5sxZYrDcYAs",6,"expired",19,"gIIujNbDqtvR"
24,"zeVK08qfSiEV","2020-05-23 03:39:18","foo1.bar.local","2020-05-22 03:39:18","W0aZqodZyTHGTkBcRdvAvzO1ZEXh3Y7W",6,"expired",21,"uqvhOs39j8VT"
25,"pLb54Avf3XAy","2020-05-23 03:40:12","foo1.bar.local","2020-05-22 03:40:12","tlX7PiVGKymoERaB71K6NALykaQ4cUcQ",6,"expired",22,"GTj8NYMjsj3G"
26,"OR5Ul3F040OB","2020-05-23 03:48:25","foo1.bar.local","2020-05-22 03:48:25","OTPGXaoWIFYjEEuwyjIXBJSxekaNYyWp",6,"expired",23,"GgYNp58xWAOh"
27,"JIUrAGHxDTah","2020-05-23 03:49:50","foo1.bar.local","2020-05-22 03:49:50","5FZSl8RDxR6C6j73etfOg2ZhPgmxWJNP",6,"expired",24,"C8maLfYyTUcL"
28,"TPXdSNC5SIJ0","2020-05-23 03:54:41","foo1.bar.local","2020-05-22 03:54:41","iai8M2sr8b3F1qwl4zsE3OJly7r3usuj",6,"expired",25,"XjdzkuFereFp"
29,"8SOHGALqZlDA","2020-05-23 03:56:40","foo1.bar.local","2020-05-22 03:56:40","OOgF5jKbieyZwrqEX8iFM9iM0CJowwvr",6,"expired",26,"aHsA2TJUmGRb"
30,"v2tw3hIq3bpf","2020-05-23 03:58:05","foo1.bar.local","2020-05-22 03:58:05","fF31irt5251SrpEvmZOwKAjIXt6MhXTK",6,"expired",27,"gst9QFQsqIZt"
31,"t0vlr7voyGlF","2020-05-23 04:01:24","foo1.bar.local","2020-05-22 04:01:24","Hz4GwgOafzWlnZv4YCMyDW4QUW5BYDN1",6,"expired",28,"rCnEbY7i2bHh"
32,"fsEDhxunlVOo","2020-05-23 04:02:50","foo1.bar.local","2020-05-22 04:02:49","srbK2O5EPPmolpsOGdHgNUGHPhe6nOsk",6,"expired",29,"LHTlW3m6Etxf"
33,"iqgHzq7leEtl","2020-05-23 04:08:52","foo1.bar.local","2020-05-22 04:08:52","JngZG1Ig8xct7RL5jTofrh5dDrxWsGw4",6,"expired",30,"FlbS7EII25gG"
34,"isYU4DAHbIDK","2020-05-23 04:10:25","foo1.bar.local","2020-05-22 04:10:25","e55qGw26FOxdGxPp2Yn1SW2C6XLFPeHx",6,"expired",31,"ms9K94PpQITo"
35,"QhUh8mNbF6Wa","2020-05-23 04:13:15","foo1.bar.local","2020-05-22 04:13:15","Xa59yAjv0YWOODBl598PvXMdv11szvJV",6,"expired",32,"eZuGREh2GbEi"
36,"cYZ8koG9GjSt","2020-05-23 04:14:29","foo1.bar.local","2020-05-22 04:14:29","SwxRpXXYSCipVUaXat5fksg8QEtP6RWV",6,"expired",33,"LrglKTJDWwzt"
37,"UJbxZ2CnPCCh","2020-05-23 04:15:48","foo1.bar.local","2020-05-22 04:15:48","eMIgstswR66ODVZezxx6LhidQ1cH6cWP",6,"expired",34,"VrtpZ3qJff9s"
38,"Yr7XSmrXAtqQ","2020-05-23 04:17:47","foo1.bar.local","2020-05-22 04:17:47","kuPsOL1n4kr6jQeBwlKnPDm7xal9yXmU",6,"expired",35,"nXfBSIb9Aytd"
39,"fbsJ4djfqlcx","2020-05-23 04:19:01","foo1.bar.local","2020-05-22 04:19:00","bP5sjidBUNKEsTZsK8vyRgwwaZfo6H0t",6,"expired",36,"OoPsPSIEdhsh"
40,"G69rfmIkBnGC","2020-05-23 04:24:08","foo1.bar.local","2020-05-22 04:24:08","1Psks3MxNQS44f7r2ZiMhnbICHa2ho1V",6,"expired",37,"cwpSXcQBy1cV"
41,"U7K9xn0GzvZ9","2020-05-23 04:25:37","foo1.bar.local","2020-05-22 04:25:37","U9dJeVA4NpwF6sb42aoB2EtVgqZThnUO",6,"expired",38,"5Ua4pXxOWcpm"
42,"NruhPQWebFt6","2020-05-23 04:27:00","foo1.bar.local","2020-05-22 04:26:59","2fpNJsw67BPdCuIwlWv1swldgeFVQr1K",6,"expired",39,"xDCYW3rJNVeO"
43,"6nT9cTEB0Eeu","2020-05-23 04:28:11","foo1.bar.local","2020-05-22 04:28:11","L3VFAv9Pc6WorT9Zd6FEUL6MNA3sLAyX",6,"expired",40,"AdjEbwmXHWTq"
44,"DYYr4325InrQ","2020-05-23 04:29:36","foo1.bar.local","2020-05-22 04:29:35","knh9fSKhVz9TtdBP8h568XVwb7A2yfK7",6,"expired",41,"W3s0cQV08qGm"
45,"myBYgUXT4gt5","2020-05-23 04:30:28","foo1.bar.local","2020-05-22 04:30:28","9sXkzbMgcgbJPX9wQbGzANY25zHgwUrJ",6,"expired",42,"NYZBZU4Ugm98"
46,"r0e9j2pceg12","2020-05-23 05:00:09","foo1.bar.local","2020-05-22 05:00:09","8aISmK32FvUjv8eA1If4QhDb7eGHTE13",6,"expired",43,"OFm2FhGUsmD6"
47,"NQWWtxXhxlPI","2020-05-23 05:25:32","foo1.bar.local","2020-05-22 05:25:32","52hBtD3J2nJuamhYLzDrNIwFp3oSuPnV",6,"expired",44,"9ZTgSyB7zwY2"
48,"iqiPSvDC11qF","2020-05-23 05:34:02","foo1.bar.local","2020-05-22 05:34:01","TmOepyaTga3Ml4TJFbkSlmjW6b7oAZbG",6,"expired",45,"qLia19j5Sctk"
49,"fW0M8m9WVe9w","2020-05-23 05:39:11","foo1.bar.local","2020-05-22 05:39:11","Ajh1cplfUBBI0rMiezct0SCBBKHzp8Ij",6,"expired",46,"KWJK1geJHfsS"
50,"xulejfK9Plts","2020-05-23 05:59:03","foo1.bar.local","2020-05-22 05:59:03","0X22W5geFoP4dEUGs3WNCuBGJ2SxVmwS",6,"expired",47,"hClipSvymu4r"
51,"8Yec0EnBPyvj","2020-05-23 06:01:28","foo1.bar.local","2020-05-22 06:01:27","2BtBseFX2Cd3S2mwd3REUnOThm5Wu2Ka",6,"expired",48,"80j3twRMvef2"
52,"8dAn8ab20Sky","2020-05-23 06:01:59","foo1.bar.local","2020-05-22 06:01:59","Bz2YXup9aFffjRHIFwCWSvAP5ujXbww5",6,"expired",49,"5tgKSZFWeukD"
53,"5aonUI949lJ5","2020-05-23 06:02:53","foo1.bar.local","2020-05-22 06:02:52","Bazyc071hMEG6Xvr2v22AhiiBAqO2vJK",6,"expired",50,"KKacDq679kqd"
54,"a5dli890WhO9","2020-05-23 06:26:05","foo1.bar.local","2020-05-22 06:26:04","MI1cW2hnmIIhJukBj9QRcN5AALs5iXqk",6,"expired",51,"DvHXPg88Ea1d"
55,"m2pLR3q6dDzn","2020-05-23 06:28:32","foo1.bar.local","2020-05-22 06:28:32","cOrME35IYx5ZiRjuAubCFWZfQVvhqfjM",6,"expired",52,"tezcddI9dTBd"
56,"JeAB24Y3NmZ3","2020-05-23 06:29:37","foo1.bar.local","2020-05-22 06:29:37","b6pFfREEQKf4tWkTdS2WuP3iw2O82dbr",6,"expired",53,"d5loMG2QJ9Vw"
57,"IpVYjBjr68WW","2020-05-25 18:22:02","foo1.bar.local","2020-05-24 18:22:01","7tITZjKQr1jCZaoQDAXm8lgpLLX5wgL0",6,"expired",54,"RKdwwO2dwfwM"
58,"0UC3f2Jd5ZxJ","2020-05-25 18:42:24","foo1.bar.local","2020-05-24 18:42:24","yj6SnS55waKJF0lwxnEde49CdCZQusuj",6,"expired",55,"kTT8EwwGOIMr"
59,"JVXsYmJoL1c6","2020-05-26 17:16:01","foo1.bar.local","2020-05-25 17:16:01","6KApudF7EZ9ph6ALJdZLeYsD3EUWpE2x",6,"expired",56,"Oerv73PfOHfs"
60,"ZEHtnWecNhmC","2020-05-26 17:16:36","foo1.bar.local","2020-05-25 17:16:36","NJOmhBURv3vWj4rNuRJaqRCT9Ode0jlC",6,"expired",57,"aO6tehlExInt"
61,"Ql04IMKKYGqT","2020-05-26 17:16:58","foo1.bar.local","2020-05-25 17:16:58","iHciTOIKRljSnChf4PUzM9UD5zuf5SYE",6,"expired",58,"8503XalBsEMW"
62,"XIddeVaAh7Wl","2020-05-26 18:17:34","foo1.bar.local","2020-05-25 18:17:34","dZL7lzP1YC4E0B4NkynW0tF9ep7b1c1I",6,"expired",59,"1Ewf5cBP8uOM"
63,"6s9n0Xgwfu84","2020-05-28 06:40:54","foo1.bar.local","2020-05-27 06:40:53","VHSul4jfZu9fLdb81mq11PmpWHwUYZ9o",6,"expired",60,"sm5RaJYrRCKZ"
64,"KNLrUTfk7B5S","2020-05-28 06:41:46","foo1.bar.local","2020-05-27 06:41:45","Qh9m7Fu7N0DrATD16GXZHo8CmptmG2vt",6,"expired",61,"Sxn9Wb04yXNe"
65,"cBMAaljG2DQd","2020-05-28 06:41:51","foo1.bar.local","2020-05-27 06:41:51","DYqZts4UmvLupw1CGq4yAiZ8oEuvUJSH",6,"expired",62,"j79WvsCjCiYz"
66,"2LM53MiA8dl8","2020-05-28 06:45:23","foo1.bar.local","2020-05-27 06:45:23","Gz97P1vI1S2NPmQQk09EO0xvjzMPUfcA",6,"expired",63,"wTvLuDLfR3vt"
67,"00WJzsoEHebk","2020-05-28 12:30:19","foo1.bar.local","2020-05-27 12:30:19","RkUKlGWX8Lhr8c64gd6QDikjnzXTa25i",6,"expired",64,"1iLtDcYX6n4G"
68,"NX22Fy1nASyE","2020-05-28 13:30:09","foo1.bar.local","2020-05-27 13:30:09","sPkCed7F3jiTfPs1J1gGQDgaChGRRPPp",6,"expired",65,"2wRH5FRbnX5k"
69,"lcuQSoWcj3Zc","2020-05-28 13:31:02","foo1.bar.local","2020-05-27 13:31:02","ncynckeNvcoaPJWfr3JXLeBPaoJ0my2O",6,"expired",66,"IhevQn22dB5P"
70,"4g7xp57Vgw4J","2020-05-28 13:34:26","foo1.bar.local","2020-05-27 13:34:26","GO6BR65JescwyqbsikKkxEB5H4O90vAX",6,"expired",67,"byqoRVGYGOt0"
71,"MDjyVX4xuE3I","2020-05-28 13:34:56","foo1.bar.local","2020-05-27 13:34:56","NgB6mwFWmrioRmpZaBSY8NxXTRTz7BvU",6,"expired",68,"MAECSIfdJMoZ"
72,"wATbpeSDp31f","2020-05-28 13:35:25","foo1.bar.local","2020-05-27 13:35:25","S6S4LuvM0gNO84LBcKD7Nd8j63gRyeeE",6,"expired",69,"GxVvTb6H1vSe"
73,"x0AeVaL1yE36","2020-05-28 13:36:26","foo1.bar.local","2020-05-27 13:36:25","9jSuwWAS3Uv02wdz9FqvpgQHCmjsIe1c",6,"expired",70,"4apwHp6WOT7e"
74,"zdwhQJB0wx8F","2020-05-28 13:37:11","foo1.bar.local","2020-05-27 13:37:10","MsvP7H3ecGFADcMbIW1sfGHUJSzIqLl2",6,"expired",71,"W3vftQ3ARpZN"
75,"1pDdGcsmFTUE","2020-05-28 13:37:46","foo1.bar.local","2020-05-27 13:37:46","AvGSzHQHJvVHSXCI6TsJNBOo9J3TBWfn",6,"expired",72,"aRATeNjhE6QC"
76,"3blTwijwYSDg","2020-05-28 13:38:10","foo1.bar.local","2020-05-27 13:38:10","NvJ7KCPbNyr9Ms8bJChPiZ8A6DYdbBwk",6,"expired",73,"mZMeA7cvvl4v"
77,"61ZumpeRurby","2020-05-28 13:38:34","foo1.bar.local","2020-05-27 13:38:34","fjC9UIUb8lKLoGbbr4LcAQwTCjO1BPaU",6,"expired",74,"QfY0tpKlpo6h"
78,"rwSdQ2fPnxeu","2020-05-28 14:08:55","foo1.bar.local","2020-05-27 14:08:55","nCDFRrkgyyHtgzRoiJwNo2oyMIxvUmyq",6,"expired",75,"5CC2yFqd5oeR"
79,"q9TQx6WTOpVM","2020-05-28 14:18:31","foo1.bar.local","2020-05-27 14:18:31","mvpHUgIhszxuFHp8alBlCiU9MLrQKI1J",6,"expired",76,"AWBPNnH7WM0o"
80,"WUeBEkhTW1wI","2020-05-28 14:19:11","foo1.bar.local","2020-05-27 14:19:10","fqoRym6Gvzio6fkojhCYzRw9Vf2Avrok",6,"expired",77,"7FlDMYLk7GPB"
81,"BV034prCcX1f","2020-05-28 14:19:38","foo1.bar.local","2020-05-27 14:19:38","Pp6UbFaeuLtZpnntuIPeYgyHBWi2G8CP",6,"expired",78,"jCZ2J8HtyS2n"
82,"tBuH8C440HSO","2020-05-28 14:20:45","foo1.bar.local","2020-05-27 14:20:45","qovJYuOdRRhhXon1UylNP6jvVPLXUzxr",6,"expired",79,"rOXe1yHzhdOQ"
83,"SNElSqOAqNxv","2020-05-28 14:22:03","foo1.bar.local","2020-05-27 14:22:03","kvFwL4WL47n2OgpdEvdBfKJ0FgnmyWQf",6,"expired",80,"hMaDc45p2gpt"
84,"SkEehKsP6sla","2020-05-28 14:26:40","foo1.bar.local","2020-05-27 14:26:40","MnrNuzcB9L74fFXL494Wkx0fdCJkihys",6,"expired",81,"KEIGsP44uSqr"
85,"4wlW9FQPyE41","2020-05-28 14:44:34","foo1.bar.local","2020-05-27 14:44:33","9tT4kmIKGdfkkhylmmQvD2hayYJ77IHM",6,"expired",82,"Q9dHLUFJDVq1"
86,"9RESgtFhGEcJ","2020-05-28 16:44:31","certbot-1.bar.local","2020-05-27 16:44:31","2Z6FvFZG9hxJIn1afKa2nkv7SzGtPEZm",6,"expired",83,"EOOGtuWJ01Np"
87,"Z3SkjnqwfCAU","2020-05-28 16:44:31","certbot-2.bar.local","2020-05-27 16:44:31","9eQK3Bjekrmx1WGH9KtOATygR6gBtEi3",6,"expired",83,"EOOGtuWJ01Np"
88,"yqsuZhdc49JA","2020-05-28 16:44:56","certbot-1.bar.local","2020-05-27 16:44:52","ZI2u7iNLvXtV1oHgl1j5Jic0FqhYTDyY",6,"expired",84,"hNSXmgTblz4H"
89,"sMyGxDVOcNmj","2020-05-28 16:44:57","certbot-2.bar.local","2020-05-27 16:44:52","C3q2ass3Hw8Uxs7f6HJ0XbJN8q6DRoWx",6,"expired",84,"hNSXmgTblz4H"
90,"lV6ng7Zij3KS","2020-05-28 16:45:53","certbot-1.bar.local","2020-05-27 16:45:48","ZfKPcWLWYM5BGn2OXDh913Y2tYqsgtJA",6,"expired",85,"G6s3Oj2iyQxS"
91,"EdhV98oBLiSh","2020-05-28 16:45:53","certbot-2.bar.local","2020-05-27 16:45:48","iT9PnvUPWa5laGkoI5J9RgLePzrc05rK",6,"expired",85,"G6s3Oj2iyQxS"
92,"eiWGueyySlDk","2020-05-28 16:45:53","certbot-3.bar.local","2020-05-27 16:45:48","CcpaDNvb72orlJ4vOi5vVajzTmgf5uEC",6,"expired",85,"G6s3Oj2iyQxS"
93,"ICTV8r3SxPMD","2020-05-28 16:45:54","certbot-4.bar.local","2020-05-27 16:45:48","WXHmg6TG142hfXCM6cXTHU1aAbzCXody",6,"expired",85,"G6s3Oj2iyQxS"
94,"XRrEA3Qa9giO","2020-05-28 16:45:54","certbot-5.bar.local","2020-05-27 16:45:48","KHQN3pxU0O5dwMqJ33iC5KMQQF7R6NJZ",6,"expired",85,"G6s3Oj2iyQxS"
95,"hvJsfVMaQCV6","2020-05-28 16:46:38","certbot-1.bar.local","2020-05-27 16:46:32","u4b5UTrxsv0rjatn7ksKuy43UtmJxVk6",6,"expired",86,"B7nund1xolqu"
96,"TBXDRODgzEoT","2020-05-28 16:46:38","certbot-2.bar.local","2020-05-27 16:46:32","cZEdJqDaDlPhKUMD15C3FfzqOBtkucOk",6,"expired",86,"B7nund1xolqu"
97,"ldf6B518lDAx","2020-05-28 16:46:38","certbot-3.bar.local","2020-05-27 16:46:32","UI3sKfmeXyul6i0odxgei537iBXI2hhC",6,"expired",86,"B7nund1xolqu"
98,"wlpbLBYzAwch","2020-05-28 16:46:38","certbot-4.bar.local","2020-05-27 16:46:32","wHbxmI4Ul2oH2UkKnvHceC8WbUYCFNkb",6,"expired",86,"B7nund1xolqu"
99,"YLgq656FyztW","2020-05-28 16:46:38","certbot-5.bar.local","2020-05-27 16:46:32","NMiCqABnLTTSaQZfkEzZbtSJMiEk4ikV",6,"expired",86,"B7nund1xolqu"
100,"QvY7D66q620A","2020-05-28 16:46:38","certbot-6.bar.local","2020-05-27 16:46:32","56jTcBiRSXdlWwWYWLAzncIevhf8v1ap",6,"expired",86,"B7nund1xolqu"
101,"vmSPj8wa3dAt","2020-05-28 16:46:38","certbot-7.bar.local","2020-05-27 16:46:32","NafuRjl2INXgfQT0pjhjGxab5qRZ3YS9",6,"expired",86,"B7nund1xolqu"
102,"njK8dbIIGQYP","2020-05-28 16:46:38","certbot-8.bar.local","2020-05-27 16:46:32","zR0WdbwZY3cAlAgUafRdPbHqB5jTSvtE",6,"expired",86,"B7nund1xolqu"
103,"xGhXJKG82rAn","2020-05-28 16:46:59","certbot-1.bar.local","2020-05-27 16:46:53","IxnxlH9WbrGMr3QoI328SzGOIFVSLup3",6,"expired",87,"DsVBtb1VV3RS"
104,"j5Z4KYSrHOJU","2020-05-28 16:46:59","certbot-2.bar.local","2020-05-27 16:46:53","TwlJj8bpQtKyiRQmwZJ0auvjjZIXwZEe",6,"expired",87,"DsVBtb1VV3RS"
105,"DSVuO5cxXhE6","2020-05-28 16:46:59","certbot-3.bar.local","2020-05-27 16:46:53","djGYkYtHUa4eqpeWJmmZOU6DpEaFzbWH",6,"expired",87,"DsVBtb1VV3RS"
106,"TihcyVJeIUaj","2020-05-28 16:46:59","certbot-4.bar.local","2020-05-27 16:46:53","2QhK3XaMTSd9E7EakTk73UGyzrI3UhY3",6,"expired",87,"DsVBtb1VV3RS"
107,"tPFu3OK54ZhW","2020-05-28 16:46:59","certbot-5.bar.local","2020-05-27 16:46:53","1p8PUbBs0hiJV3vVLlCFbg21QqhUykhk",6,"expired",87,"DsVBtb1VV3RS"
108,"6HVf4sTOpT5S","2020-05-28 16:46:59","certbot-6.bar.local","2020-05-27 16:46:53","tZrq2YpvQgfE2Db1Lh42Tk3THQvWbuZj",6,"expired",87,"DsVBtb1VV3RS"
109,"DjSBjjg7Wtj3","2020-05-28 16:46:59","certbot-7.bar.local","2020-05-27 16:46:53","WNMZCRYqZrKdfCQz1MQ5N6mfcGSRccNL",6,"expired",87,"DsVBtb1VV3RS"
110,"UOBkjQpcKROB","2020-05-28 16:46:59","certbot-8.bar.local","2020-05-27 16:46:53","BjMflUBjwlsQfqFlUbtZtuSgwjdZR29Z",6,"expired",87,"DsVBtb1VV3RS"
111,"OW1MxzxJQ3nc","2020-05-28 16:48:55","certbot-1.bar.local","2020-05-27 16:48:49","yjO9QeB54WX6wB2hGPxHPo8FVqcS8Vg8",6,"expired",88,"0IccnfVeEDeG"
112,"Wm57iykE8e1C","2020-05-28 16:48:55","certbot-2.bar.local","2020-05-27 16:48:49","WklIMhDw7fM6rEkgf5TkZekpbmglTRHH",6,"expired",88,"0IccnfVeEDeG"
113,"T0yaH9SFl0NA","2020-05-28 16:48:55","certbot-3.bar.local","2020-05-27 16:48:49","r8O3Zl8MdCyPkwItg6pxduc3mmu2EYnL",6,"expired",88,"0IccnfVeEDeG"
114,"kwd0aufYVD1r","2020-05-28 16:48:55","certbot-4.bar.local","2020-05-27 16:48:49","3FhJNMkptIk5Sh3o8heEkdq4Mv8ZNg2n",6,"expired",88,"0IccnfVeEDeG"
115,"Jq3U6JUNLAYC","2020-05-28 16:48:55","certbot-5.bar.local","2020-05-27 16:48:49","KzEUhcXRfOCw0Wt7Ym7HZVHYxUmHpQ1K",6,"expired",88,"0IccnfVeEDeG"
116,"UVZRlfD8VU5Q","2020-05-28 16:48:55","certbot-6.bar.local","2020-05-27 16:48:49","iPdqQQVVxEa8geAXWbq6M09i8RkHNEjF",6,"expired",88,"0IccnfVeEDeG"
117,"9qgDTjbE7uqo","2020-05-28 16:48:55","certbot-7.bar.local","2020-05-27 16:48:49","t1joavRfOPRxE2EmiYtWvw52Vc3p1RIL",6,"expired",88,"0IccnfVeEDeG"
118,"7Dpeh3GyEBZq","2020-05-28 16:48:55","certbot-8.bar.local","2020-05-27 16:48:49","t7N27JEOz1v77iJ2iilxNrRolSny0Zo9",6,"expired",88,"0IccnfVeEDeG"
119,"5uDOCNIrmw2A","2020-05-28 16:49:21","certbot-1.bar.local","2020-05-27 16:49:21","H6gUuTJ6HmS7pwrW8BkvxXvfWk6FwA1w",6,"expired",89,"kQuoBjyKrjLD"
120,"VALjIYGGf6CP","2020-05-28 16:49:22","certbot-2.bar.local","2020-05-27 16:49:21","BRut9h7sTyqPZvMMYWjmJNVea0kX7rM8",6,"expired",89,"kQuoBjyKrjLD"
121,"CS2vnBCYeCj9","2020-05-28 16:49:22","certbot-3.bar.local","2020-05-27 16:49:21","EuocLEZn8vT3AFP1HUjBfpCcogiwj6V9",6,"expired",89,"kQuoBjyKrjLD"
122,"3El4ZJJENUew","2020-05-28 16:49:22","certbot-4.bar.local","2020-05-27 16:49:21","Io7rABmDDkFgXDyBTpMoWX9ULcyLMxJj",6,"expired",89,"kQuoBjyKrjLD"
123,"Xutak694l5uE","2020-05-28 16:49:22","certbot-5.bar.local","2020-05-27 16:49:21","iTQ8CfufayuW1xZEiW5WANvUojY7r7rs",6,"expired",89,"kQuoBjyKrjLD"
